Document Title,Authors,Author Affiliations,Publication Title,Publication Year,Venue Key,Venue Rank,IC Domain,Abstract,DOI,PDF Link,Source URL,IEEE Article Number,Quality Score,Collection Method,Download Status,Article Citation Count
1.68μJ/signature-generation 256-bit ECDSA over GF(p) signature generator for IoT devices,Masato Tamura; Makoto Ikeda,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,"Devices, Process & 3D Integration",,10.1109/asscc.2016.7844205,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844205,https://doi.org/10.1109/asscc.2016.7844205,7844205,88.5,crossref_venue_year:2016,publisher_pdf_requires_session,12
"20 mV input, 4.2 V output SIDO boost converter with low-power controller and adaptive switch size selector for thermoelectric energy harvesting",Yosuke Toyama; Taichi Ogawa; Takeshi Ueno; Tetsuro Itakura,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Power Management,,10.1109/asscc.2016.7844122,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844122,https://doi.org/10.1109/asscc.2016.7844122,7844122,98.3,crossref_venue_year:2016,publisher_pdf_requires_session,8
56-Level programmable voltage detector in steps of 50mV for battery management,Teruki Someya; Kenichi Matsunaga; Hiroki Morimura; Takayasu Sakurai; Makoto Takamiya,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,General IC,,10.1109/asscc.2016.7844132,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844132,https://doi.org/10.1109/asscc.2016.7844132,7844132,88.3,crossref_venue_year:2016,publisher_pdf_requires_session,7
93% Efficiency and 0.99 power factor in pseudo-linear LED driver,Shao-Wei Chiu; Chun-Chieh Kuo; Kai-Cheng Chuang; Wen-Hau Yang; Ke-Horng Chen; Chin-Long Wey; Ying-Hsi Lin; Jian-Ru Lin; Lsung-Yen Lsai; Jui-Lung Chen,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,General IC,,10.1109/asscc.2016.7844133,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844133,https://doi.org/10.1109/asscc.2016.7844133,7844133,88,crossref_venue_year:2016,publisher_pdf_requires_session,1
A 0.011mm 2 60dB SNDR 100MS/s reference error calibrated SAR ADC with 3pF decoupling capacitance for reference voltages,Chi-Hang Chan; Yan Zhu; Iok-Meng Ho; Wai-Hong Zhang; Chon-Lam Lio; U Seng-Pan; Rui Paulo Martins,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Analog & Mixed-Signal,,10.1109/asscc.2016.7844156,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844156,https://doi.org/10.1109/asscc.2016.7844156,7844156,108.1,crossref_venue_year:2016,publisher_pdf_requires_session,3
A 0.3 pJ/access 8T data-aware SRAM utilizing column-based data encoding for ultra-low power applications,Anh Tuan Do; Seyed Mohammad Ali Zeinolabedin; Tony T. Kim,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Memory & Compute-in-Memory,,10.1109/asscc.2016.7844163,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844163,https://doi.org/10.1109/asscc.2016.7844163,7844163,88.2,crossref_venue_year:2016,publisher_pdf_requires_session,4
A 0.35V 1.3pJ/cycle 20MHz 8-bit 8-tap FIR core based on wide-pulsed-latch pipelines,Wei Jin; Seongjong Kim; Weifeng He; Zhigang Mao; Mingoo Seok,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,General IC,,10.1109/asscc.2016.7844152,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844152,https://doi.org/10.1109/asscc.2016.7844152,7844152,88.1,crossref_venue_year:2016,publisher_pdf_requires_session,3
"A 0.38-μW stand-by power, 50-nA-to-1-mA load current range DC-DC converter with self-biased linear regulator for ultra-low power battery management",Toshihiro Ozaki; Tetsuya Hirose; Hiroki Asano; Nobutaka Kuroki; Masahiro Numa,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Power Management,,10.1109/asscc.2016.7844176,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844176,https://doi.org/10.1109/asscc.2016.7844176,7844176,98.6,crossref_venue_year:2016,publisher_pdf_requires_session,14
A 0.9V 15fJ/conversion-step 8-bit 1.5GS/s two-step SAR ADC,Yao-Sheng Hu; Po-Chao Huang; Mi-Ti Yang; Shih-Wei Wu; Hsin-Shu Chen,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Analog & Mixed-Signal,,10.1109/asscc.2016.7844140,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844140,https://doi.org/10.1109/asscc.2016.7844140,7844140,98,crossref_venue_year:2016,publisher_pdf_requires_session,1
A 1.1mW hybrid OFDM ground effect-resilient body coupled communication transceiver for head and body area network,Wala Saadeh; Haneen Alsuradi; Muhammad Awais Bin Altaf; Jerald Yoo,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,RF/mmWave & Wireline,,10.1109/asscc.2016.7844170,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844170,https://doi.org/10.1109/asscc.2016.7844170,7844170,88.3,crossref_venue_year:2016,publisher_pdf_requires_session,8
